"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.222123581E2,1.931282708E1,-9.918584041E1,2.326315601E3,2.318423584E3,3.549999952E0,2.801000061E2,5.794159213E-1,3.790092468E0,3.445896864E0,1.700000000E1
1.232123581E2,1.931282831E1,-9.918587541E1,2.326571771E3,2.318679688E3,3.650000095E0,2.703999939E2,5.824396611E-1,3.790092468E0,3.624903679E0,2.000000000E1
1.242123581E2,1.931282010E1,-9.918590288E1,2.326782781E3,2.318890625E3,3.210000038E0,2.491999969E2,5.859278285E-1,3.790092468E0,3.462171078E0,1.600000000E1
1.252123581E2,1.931280518E1,-9.918593212E1,2.326994299E3,2.319102051E3,3.289999962E0,2.321000061E2,5.898192184E-1,3.790092468E0,3.352196455E0,1.600000000E1
1.262123581E2,1.931278164E1,-9.918595956E1,2.327403830E3,2.319511475E3,4.260000229E0,2.221999969E2,5.947599437E-1,3.790092468E0,3.322895527E0,1.800000000E1
1.272123581E2,1.931274182E1,-9.918598045E1,2.326564118E3,2.318671631E3,4.670000076E0,2.036999969E2,5.995545405E-1,3.790092468E0,3.200903654E0,1.700000000E1
1.282123581E2,1.931269977E1,-9.918599056E1,2.327799097E3,2.319906494E3,5.730000019E0,1.868000031E2,6.058736925E-1,3.790092468E0,3.059773207E0,1.600000000E1
1.292123581E2,1.931264297E1,-9.918599250E1,2.327358555E3,2.319465820E3,6.420000076E0,1.721999969E2,6.117567452E-1,3.790092468E0,3.170136213E0,1.800000000E1
1.302123581E2,1.931259183E1,-9.918597813E1,2.327642578E3,2.319749756E3,6.309999943E0,1.656000061E2,6.182104519E-1,3.790092468E0,3.229474545E0,1.500000000E1
1.312123581E2,1.931253440E1,-9.918596924E1,2.327549185E3,2.319656250E3,6.489999771E0,1.685000000E2,6.246595478E-1,3.790092468E0,3.293013096E0,1.600000000E1
1.322123581E2,1.931247756E1,-9.918595702E1,2.327515109E3,2.319622070E3,6.429999828E0,1.685000000E2,6.316569284E-1,3.927365065E0,3.657827854E0,1.600000000E1
1.332123581E2,1.931241805E1,-9.918593534E1,2.327147281E3,2.319254150E3,6.699999809E0,1.623000031E2,6.407720891E-1,4.058773518E0,3.619672298E0,1.700000000E1
1.342123581E2,1.931234279E1,-9.918590091E1,2.326842208E3,2.318948975E3,8.020000458E0,1.556999969E2,6.488285373E-1,3.790092468E0,3.417774916E0,1.800000000E1
1.352123581E2,1.931227805E1,-9.918586644E1,2.326516846E3,2.318623535E3,7.900000095E0,1.535000000E2,6.570517477E-1,3.790092468E0,3.500603676E0,1.800000000E1
1.362123581E2,1.931221024E1,-9.918583517E1,2.325791840E3,2.317898438E3,7.550000191E0,1.536000061E2,6.644474316E-1,3.790092468E0,3.271526098E0,1.600000000E1
1.372123581E2,1.931215180E1,-9.918580152E1,2.325255285E3,2.317361816E3,7.119999886E0,1.525000000E2,6.710066793E-1,3.790092468E0,3.400525331E0,1.900000000E1
1.382123581E2,1.931209623E1,-9.918578055E1,2.324538816E3,2.316645264E3,6.699999809E0,1.568999939E2,6.774926940E-1,3.790092468E0,3.343774319E0,1.600000000E1
1.392123581E2,1.931204172E1,-9.918575855E1,2.324251543E3,2.316357910E3,6.960000038E0,1.656999969E2,6.857093782E-1,3.790092468E0,3.326819658E0,1.400000000E1
1.402123581E2,1.931196813E1,-9.918575145E1,2.323864732E3,2.315970947E3,7.389999866E0,1.788000031E2,6.913341552E-1,3.790092468E0,3.257059336E0,1.800000000E1
1.412123581E2,1.931192096E1,-9.918577081E1,2.321130991E3,2.313237061E3,7.090000153E0,1.951000061E2,6.975629733E-1,3.790092468E0,3.742746353E0,1.800000000E1
1.422123581E2,1.931186783E1,-9.918578962E1,2.320127974E3,2.312233887E3,7.269999981E0,2.046000061E2,7.044909430E-1,3.790092468E0,3.964047909E0,1.800000000E1
1.432123581E2,1.931181444E1,-9.918582365E1,2.320902577E3,2.313008301E3,7.500000000E0,2.213999939E2,7.113433391E-1,3.790092468E0,4.058883190E0,1.600000000E1
1.442123581E2,1.931177468E1,-9.918587354E1,2.319668147E3,2.311773682E3,7.679999828E0,2.320000000E2,7.185766729E-1,3.790092468E0,4.153278828E0,1.500000000E1
1.452123581E2,1.931174356E1,-9.918593407E1,2.318957155E3,2.311062500E3,7.820000172E0,2.401000061E2,7.258166934E-1,3.790092468E0,3.982748032E0,1.400000000E1
1.462123581E2,1.931171418E1,-9.918599564E1,2.318835029E3,2.310940186E3,8.319999695E0,2.403000031E2,7.340842792E-1,3.790092468E0,4.064577103E0,1.500000000E1
1.472123581E2,1.931168425E1,-9.918606776E1,2.318427769E3,2.310532715E3,8.960000038E0,2.461000061E2,7.430494218E-1,3.790092468E0,3.886325836E0,1.800000000E1
1.482123581E2,1.931164097E1,-9.918613984E1,2.318575960E3,2.310680664E3,7.869999886E0,2.481000061E2,7.503789329E-1,3.827902079E0,4.012588978E0,1.600000000E1
